feature,Transmission_Centrality,Clonal_Expansion,Persistence,Spatial_Dissemination,mean_importance,type
SVD_1,0.0816833956297427,0.1322403480516436,0.2486329703633894,0.0026984012907714,0.1163137788338868,SVD_Latent
O3,0.0023238933528068,0.0052922391500522,0.009729621968786,0.2177273326527829,0.058768271781107,Environment
SVD_12,0.0539177818120811,0.0840210150015167,0.0033373793542109,0.0150732256828475,0.0390873504626641,SVD_Latent
SO2,0.0019212383111262,0.0065857804886284,0.0089980551339461,0.1289562478457517,0.0366153304448631,Environment
CO,0.000915386267906,0.0037310378934505,0.0038058168297385,0.1279987660236385,0.0341127517536834,Environment
NO2,0.0012626728007877,0.0046933475528163,0.015120164605125,0.0948922010037371,0.0289920964906165,Environment
PM2.5,0.0011564303123121,0.0036828239007786,0.0119908592624384,0.088209425072256,0.0262598846369463,Environment
PM10,0.0010025738967732,0.002621257325226,0.0081486504815641,0.0820617536042443,0.0234585588269519,Environment
SVD_17,0.0794105413324294,0.0049527119852737,0.002169982155895,0.0035555235167695,0.0225221897475919,SVD_Latent
AQI,0.0005144905453962,0.0034890207471367,0.0144976197536137,0.0701599647416838,0.0221652739469576,Environment
SVD_2,0.0190626726723958,0.0164436928594886,0.0223577840906362,0.0022463986413507,0.0150276370659678,SVD_Latent
SVD_3,0.0109919676844153,0.0154313665997922,0.0265371218107234,0.0003661995166419,0.0133316639028932,SVD_Latent
SVD_22,0.0297506010076707,0.0115455095533436,0.0091995533613207,0.0018647953703832,0.0130901148231795,SVD_Latent
SVD_21,0.0059699098529645,0.0320903320064115,0.0071376345143444,0.0059990105764776,0.0127992217375495,SVD_Latent
SVD_30,0.0069928115746174,0.0407234654071945,0.0015447686259459,0.0013938412421781,0.0126637217124839,SVD_Latent
SVD_32,0.0091377788050081,0.0358617119340567,0.0024197609883372,0.0005377549712524,0.0119892516746636,SVD_Latent
SVD_47,0.0069441128890316,0.0350400265649354,0.0023788442525257,0.0026662942580193,0.011757319491128,SVD_Latent
SVD_23,0.0270837654728882,0.0103062434805227,0.0034085246011514,0.0025377711633305,0.0108340761794732,SVD_Latent
SVD_31,0.0085660121614449,0.0292517099420298,0.0021966932126902,0.0007490427442268,0.0101908645150979,SVD_Latent
SVD_19,0.0301975990865499,0.0050384353902661,0.0024682757816725,0.0020146429336756,0.009929738298041,SVD_Latent
SVD_9,0.0225582364141906,0.0046321899691919,0.0114343222044466,0.0006129655220366,0.0098094285274664,SVD_Latent
SVD_8,0.0218399541077484,0.0046537176452709,0.0105836136540196,0.0011915378354179,0.0095672058106142,SVD_Latent
SVD_7,0.025492374880753,0.006981453996242,0.0035737272798505,0.0010807656017342,0.0092820804396449,SVD_Latent
SVD_18,0.0252531624065973,0.0046674489977192,0.0025825463357596,0.003451596879741,0.0089886886549543,SVD_Latent
SVD_68,0.0039528760358875,0.0063511088546033,0.0232113078174447,0.0009949256546791,0.0086275545906536,SVD_Latent
SVD_6,0.0167411431033748,0.0081760044906524,0.0063719923725799,0.0030158742855505,0.0085762535630394,SVD_Latent
SVD_58,0.0035506179308064,0.0034708874540945,0.0257572133131695,0.0008540022408061,0.0084081802347191,SVD_Latent
SVD_51,0.0142796916987823,0.01125674065159,0.0040095783669728,0.0031635147871091,0.0081773813761136,SVD_Latent
SVD_72,0.0033579687369535,0.0083876853630548,0.0192472449142734,0.0013305464924733,0.0080808613766887,SVD_Latent
SVD_37,0.0095488338498722,0.0199423466851824,0.0017781417972637,0.0007046740435357,0.0079934990939635,SVD_Latent
SVD_45,0.0216753611265343,0.003757825896686,0.0051982475200938,0.0012989207542061,0.00798258882438,SVD_Latent
